# 농진청 농산물소득조사 2024 전국 '농산물소득자료 총괄표'(자료집 p17-19) 추출.
#   단위: yield=kg/10a · cost(경영비)=원/10a · price=원/kg(=총수입÷수량 도출·참고단가). 기준: 년 1기작/10a.
#   p10/p90 비움 → 로더가 보수적 폭 자동 유도 + 출처에 "(일부 폭 추정)" 병기(정직성).
#   ⚠ 매핑 판단(룰북 cropId ← RDA 작목): barley←쌀보리 · potato←봄감자 · napa_cabbage←노지가을배추(김장 주력) · strawberry←시설딸기(토경).
#   ⚠ 미수록(데모 base 유지): rice(미곡 별도조사)·garlic·onion·soybean(생산비조사)·balloon_flower(도라지 미수록)·corn(수량 '개' 단위).
#   ⚠ chili_pepper 제외(의도): 소득조사엔 시설고추뿐 — 경영비 976만/10a로 '노지 건고추'를 4-6배 과대표현하므로 데모 유지(노지는 생산비조사 별도자료로 추후).
cropId,baseYear,yield_p50,yield_p10,yield_p90,cost_p50,cost_p10,cost_p90,price_p50,price_p10,price_p90,source
apple,2024,1982,,,3706022,,,4450,,,농진청 농산물소득조사 2024
blueberry,2024,491,,,5179707,,,23706,,,농진청 농산물소득조사 2024
grape,2024,1652,,,4384742,,,5971,,,농진청 농산물소득조사 2024
sweet_potato,2024,1686,,,1919252,,,2153,,,농진청 농산물소득조사 2024
potato,2024,2263,,,1443511,,,1190,,,농진청 농산물소득조사 2024
strawberry,2024,2893,,,15620841,,,9093,,,농진청 농산물소득조사 2024
napa_cabbage,2024,6155,,,1533753,,,672,,,농진청 농산물소득조사 2024
sesame,2024,71,,,770302,,,25576,,,농진청 농산물소득조사 2024
perilla,2024,86,,,497644,,,12727,,,농진청 농산물소득조사 2024
barley,2024,336,,,360456,,,1308,,,농진청 농산물소득조사 2024
