# 농진청 지역별 농산물소득자료 2024 — 도별 상세표 추출(체크섬 총수입−경영비=소득 통과행만). price=총수입÷수량.
cropId,region,yield_p50,cost_p50,price_p50
apple,강원,1740,3104650,4978
apple,경기,1757,3635373,5057
apple,경남,2370,3944003,4143
apple,경북,2434,3998645,4031
apple,전남,996,3806682,5301
apple,전북,1429,3965431,5364
apple,충남,2580,4392591,3249
apple,충북,1626,2571919,5519
blueberry,강원,409,3166930,24736
blueberry,경기,408,5360632,23734
blueberry,경남,472,4452044,22926
blueberry,전남,630,8600734,25837
blueberry,전북,481,3747192,20526
blueberry,충남,483,4513111,22797
blueberry,충북,479,3917210,24585
grape,강원,1296,3221497,5781
grape,경기,1179,3238258,7555
grape,경남,1716,5123139,5519
grape,경북,2312,5956690,4839
grape,대구,1393,3885433,5295
grape,인천,1153,2899705,8782
grape,전남,1341,4333933,9127
grape,전북,1611,3970323,6313
grape,충남,1099,3354317,6438
grape,충북,1124,2445439,8376
sweet_potato,경기,1971,2321621,2031
sweet_potato,경남,1363,1343741,2397
sweet_potato,경북,1507,1526736,2153
sweet_potato,인천,830,1241929,3371
sweet_potato,전남,1605,2193313,2285
sweet_potato,전북,2177,2504728,1809
sweet_potato,충남,2003,1598955,1695
sweet_potato,충북,1308,1594808,3037
potato,강원,2367,1175498,1307
potato,경기,1935,1570521,1235
potato,경남,1670,998699,1159
potato,경북,3197,2081676,1022
potato,전남,2026,1631582,1076
potato,전북,2017,1650406,1545
potato,제주,1931,1339118,926
potato,충남,2525,1463068,1092
potato,충북,2525,1255348,1368
strawberry,경남,2504,14539715,9481
strawberry,경북,2808,14695674,7828
strawberry,전남,2321,15678301,10604
strawberry,전북,3605,18988664,9467
strawberry,충남,3131,14506268,8821
napa_cabbage,강원,4838,1482490,887
napa_cabbage,경기,4391,1497770,1009
napa_cabbage,경남,4841,2071961,1639
napa_cabbage,경북,7009,1354583,347
napa_cabbage,전남,9075,1795746,492
napa_cabbage,전북,6555,1635902,727
napa_cabbage,충남,5919,1345073,531
napa_cabbage,충북,5567,1250101,550
sesame,경기,66,669575,29290
sesame,경남,51,394734,26153
sesame,경북,67,788444,26401
sesame,전남,81,820727,22566
sesame,전북,90,1149127,24922
perilla,강원,70,477077,12296
perilla,경기,101,574736,13165
perilla,경북,67,475988,13133
perilla,충남,89,396493,11771
perilla,충북,87,486020,12571
barley,전북,354,322365,1309
